case,src,dst,kind
doc_agent/plan_send_buggy,too1,too2,control
doc_agent/plan_send_buggy,too2,too3,control
doc_agent/plan_send_buggy,init,too1,control
doc_agent/plan_send_fixed,too1,too2,control
doc_agent/plan_send_fixed,too2,too3,control
doc_agent/plan_send_fixed,too3,too4,control
doc_agent/plan_send_fixed,init,too1,control
doc_agent/plan_delete_buggy,init,too1,control
doc_agent/plan_delete_fixed,gra1,too2,control
doc_agent/plan_delete_fixed,init,gra1,control
doc_agent/plan_send_choice,too1,too2,control
doc_agent/plan_send_choice,too5,too6,control
doc_agent/plan_send_choice,llm3,too5,control
doc_agent/plan_send_choice,too6,mrg4,control
doc_agent/plan_send_choice,llm3,too7,control
doc_agent/plan_send_choice,too7,mrg4,control
doc_agent/plan_send_choice,too2,llm3,control
doc_agent/plan_send_choice,init,too1,control
swe_agent/plan_patch_buggy,gra1,too2,control
swe_agent/plan_patch_buggy,init,gra1,control
swe_agent/plan_patch_fixed,gra1,too2,control
swe_agent/plan_patch_fixed,init,gra1,control
swe_agent/plan_verdict_buggy,init,too1,control
swe_agent/plan_verdict_fixed,gra1,too2,control
swe_agent/plan_verdict_fixed,init,gra1,control
manager_agent/plan_exec_buggy,mr1,too2,control
manager_agent/plan_exec_buggy,init,mr1,control
manager_agent/plan_exec_fixed,mr1,too2,control
manager_agent/plan_exec_fixed,too2,gra3,control
manager_agent/plan_exec_fixed,gra3,too4,control
manager_agent/plan_exec_fixed,init,mr1,control
manager_agent/plan_dispatch_buggy,mr1,too2,control
manager_agent/plan_dispatch_buggy,init,mr1,control
manager_agent/plan_instr_buggy,mr1,too2,control
manager_agent/plan_instr_buggy,init,mr1,control
