case,subject,matrix_dim,nnz,fact_dim,closure_iters,check_time_ms,safe
send-buggy,kernel,4,3,4,4,0.561,False
send-fixed,kernel,3,3,4,3,0.242,True
delete-buggy,kernel,2,1,2,2,0.18,False
delete-fixed,kernel,2,2,3,2,0.266,True
overwrite-buggy,kernel,2,1,2,2,0.224,False
overwrite-fixed,kernel,2,2,3,2,0.258,True
exec-buggy,kernel,3,2,3,3,0.383,False
exec-fixed,kernel,3,4,4,3,0.343,True
patch-buggy,kernel,3,2,3,3,0.248,False
patch-fixed,kernel,2,2,3,2,0.236,True
verdict-buggy,kernel,2,1,2,2,0.154,False
verdict-fixed,kernel,2,2,3,2,0.166,True
instr-buggy,kernel,3,2,3,3,0.162,False
instr-fixed,kernel,3,4,4,3,0.213,True
delegate-buggy,kernel,3,2,3,3,0.23,False
delegate-fixed,kernel,3,4,4,3,0.194,True
nc-send-public,kernel,1,1,2,1,0.177,True
nc-exec-trusted,kernel,2,2,3,2,0.164,True
nc-patch-task,kernel,2,2,3,2,0.188,True
nc-send-authorized,kernel,4,4,5,4,0.191,True
doc_agent/plan_send_buggy,scaffold,4,3,4,4,0.185,False
doc_agent/plan_send_fixed,scaffold,3,3,4,3,0.183,True
doc_agent/plan_delete_buggy,scaffold,2,1,2,2,0.165,False
doc_agent/plan_delete_fixed,scaffold,2,2,3,2,0.26,True
doc_agent/plan_send_choice,scaffold,4,4,4,4,0.3,False
swe_agent/plan_patch_buggy,scaffold,3,2,3,3,0.343,False
swe_agent/plan_patch_fixed,scaffold,2,2,3,2,0.278,True
swe_agent/plan_verdict_buggy,scaffold,2,1,2,2,0.154,False
swe_agent/plan_verdict_fixed,scaffold,2,2,3,2,0.167,True
manager_agent/plan_exec_buggy,scaffold,3,2,3,3,0.174,False
manager_agent/plan_exec_fixed,scaffold,3,4,4,3,0.185,True
manager_agent/plan_dispatch_buggy,scaffold,3,2,3,3,0.161,False
manager_agent/plan_instr_buggy,scaffold,3,2,3,3,0.193,False
