case,mode,effect,missing_capability,sink_site,status,maintainer_outcome
send-buggy,M4,SendExt,"Cap(SendExt, dst=ext, label=private)",k_send:3,unsafe,synthetic-dataset
delete-buggy,M1,Delete,"Cap(Delete, tmp)",k_del:1,unsafe,synthetic-dataset
overwrite-buggy,M4,Overwrite,"Cap(Overwrite, config)",k_ovr:1,unsafe,synthetic-dataset
exec-buggy,M1,Exec,"Cap(Exec, provenance=untrusted, sandbox=on)",k_exec:2,unsafe,synthetic-dataset
patch-buggy,M3,ModHarness,"Cap(ModHarness, harness/test_1)",k_patch:1,unsafe,synthetic-dataset
verdict-buggy,M3,Verdict,"Cap(Verdict, oracle)",k_verdict:1,unsafe,synthetic-dataset
instr-buggy,M2,InstrUse,"Cap(InstrUse, k_web)",k_instr:2,unsafe,synthetic-dataset
delegate-buggy,M2,Delegate,"Cap(Delegate, shell_role)",k_deleg:2,unsafe,synthetic-dataset
doc_agent/plan_send_buggy,M4,SendExt,"Cap(SendExt, dst=ext, label=private)",L66,unsafe,synthetic-dataset
doc_agent/plan_delete_buggy,M4,Delete,"Cap(Delete, tmp)",L77,unsafe,synthetic-dataset
doc_agent/plan_send_choice,M4,SendExt,"Cap(SendExt, dst=ext, label=private)",L92,unsafe,synthetic-dataset
swe_agent/plan_patch_buggy,M3,ModHarness,"Cap(ModHarness, harness/test_1)",L61,unsafe,synthetic-dataset
swe_agent/plan_verdict_buggy,M3,Verdict,"Cap(Verdict, oracle)",L70,unsafe,synthetic-dataset
manager_agent/plan_exec_buggy,M2,Exec,"Cap(Exec, provenance=untrusted, sandbox=on)",L59,unsafe,synthetic-dataset
manager_agent/plan_dispatch_buggy,M2,Delegate,"Cap(Delegate, shell_role)",L71,unsafe,synthetic-dataset
manager_agent/plan_instr_buggy,M2,InstrUse,"Cap(InstrUse, k_web)",L76,unsafe,synthetic-dataset
