repo,tool,effect_kind,registration,source,site
smolagents,get_weather,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:16
smolagents,convert_currency,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:52
smolagents,get_news_headlines,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:88
smolagents,get_joke,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:119
smolagents,get_time_in_timezone,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:148
smolagents,get_random_fact,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:174
smolagents,search_wikipedia,CredAccess,decorator,api,smolagents/examples/multiple_tools.py:195
smolagents,DownloadTool,CredAccess,subclass,api,smolagents/examples/open_deep_research/scripts/text_web_browser.py:410
smolagents,ArchiveSearchTool,CredAccess,subclass,api,smolagents/examples/open_deep_research/scripts/text_web_browser.py:445
smolagents,VisualQATool,SendExt,subclass,wrapper,smolagents/examples/open_deep_research/scripts/visual_qa.py:105
smolagents,visualizer,SendExt,decorator,api,smolagents/examples/open_deep_research/scripts/visual_qa.py:142
smolagents,GoogleSearchTool,CredAccess,subclass,api,smolagents/src/smolagents/default_tools.py:162
smolagents,ApiWebSearchTool,CredAccess,subclass,api,smolagents/src/smolagents/default_tools.py:249
smolagents,VisitWebpageTool,CredAccess,subclass,api,smolagents/src/smolagents/default_tools.py:491
smolagents,LangChainToolWrapper,Exec,subclass,api,smolagents/src/smolagents/tools.py:768
MetaGPT,WriteDesign,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/design_api.py:53
MetaGPT,WriteTasks,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/project_management.py:46
MetaGPT,ValidateAndRewriteCode,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/write_code_review.py:225
MetaGPT,WritePRD,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/write_prd.py:76
MetaGPT,WriteFramework,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/requirement_analysis/framework/write_framework.py:20
MetaGPT,WriteTRD,Overwrite,register-decorator,name,MetaGPT/metagpt/actions/requirement_analysis/trd/write_trd.py:18
MetaGPT,email_login_imap,CredAccess,decorator,api,MetaGPT/metagpt/tools/libs/email_login.py:27
agno,save_learning,Overwrite,decorator,wrapper,agno/cookbook/00_quickstart/human_in_the_loop.py:71
agno,get_weather,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/agui/agentic_chat.py:25
agno,get_top_hackernews_stories,CredAccess,decorator,api,agno/cookbook/02_agents/10_human_in_the_loop/confirmation_advanced.py:24
agno,add_to_watchlist,CredAccess,decorator,api,agno/cookbook/02_agents/10_human_in_the_loop/confirmation_with_session_state.py:22
agno,execute_shell_command,Exec,decorator,api,agno/cookbook/02_agents/10_human_in_the_loop/external_tool_execution.py:19
agno,EmailTools,SendExt,subclass,name,agno/cookbook/02_agents/10_human_in_the_loop/user_input.py:19
agno,send_email,SendExt,decorator,wrapper,agno/cookbook/02_agents/10_human_in_the_loop/user_input_required.py:20
agno,delete_user_data,Delete,decorator,wrapper,agno/cookbook/02_agents/11_approvals/approval_list_and_resolve.py:22
agno,send_bulk_email,SendExt,decorator,wrapper,agno/cookbook/02_agents/11_approvals/approval_list_and_resolve.py:33
agno,send_money,SendExt,decorator,wrapper,agno/cookbook/02_agents/11_approvals/approval_user_input.py:22
agno,lookup_product_price,CredAccess,decorator,api,agno/cookbook/03_teams/03_tools/tool_call_limit.py:15
agno,lookup_shipping_time,CredAccess,decorator,api,agno/cookbook/03_teams/03_tools/tool_call_limit.py:26
agno,get_city_timezone,CredAccess,decorator,api,agno/cookbook/03_teams/03_tools/tool_choice.py:15
agno,delete_user_account,Delete,decorator,wrapper,agno/cookbook/03_teams/20_human_in_the_loop/confirmation_rejected.py:18
agno,group_del_stock,CredAccess,decorator,api,agno/cookbook/03_teams/20_human_in_the_loop/confirmation_required_with_dependencies.py:26
agno,run_shell_command,Exec,decorator,api,agno/cookbook/03_teams/20_human_in_the_loop/external_tool_execution_stream.py:32
agno,send_alert,SendExt,decorator,wrapper,agno/cookbook/04_workflows/08_human_in_the_loop/dual_level_hitl/01_step_confirmation_and_tool_confirmation.py:33
agno,send_sms,SendExt,decorator,wrapper,agno/cookbook/04_workflows/08_human_in_the_loop/dual_level_hitl/04_router_selection_and_tool_confirmation.py:45
agno,post_to_slack,SendExt,decorator,wrapper,agno/cookbook/04_workflows/08_human_in_the_loop/dual_level_hitl/04_router_selection_and_tool_confirmation.py:56
agno,restart_service,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_audit_flow.py:63
agno,lookup_service,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_audit_flow.py:33
agno,lookup_customer,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_confirmation.py:51
agno,cancel_subscription,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_confirmation.py:81
agno,lookup_runbook,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_external_execution.py:52
agno,describe_table,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_required_approval.py:49
agno,add_column,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_required_approval.py:84
agno,create_index,CredAccess,decorator,api,agno/cookbook/05_agent_os/interfaces/slack/hitl_required_approval.py:116
agno,get_population,CredAccess,decorator,api,agno/cookbook/frameworks/langgraph/langgraph_tools.py:33
agno,PostgresTools,SendExt,subclass,name,agno/libs/agno/agno/tools/postgres.py:16
agno,ResendTools,SendExt,subclass,name,agno/libs/agno/agno/tools/resend.py:13
agno,ShellTools,Exec,subclass,name,agno/libs/agno/agno/tools/shell.py:8
agno,save_note,Overwrite,decorator,wrapper,agno/libs/agno/tests/integration/agent/human_in_the_loop/test_continue_run_history_context.py:28
agno,delete_file,Delete,decorator,wrapper,agno/libs/agno/tests/unit/tools/test_approval_decorator.py:20
SuperAGI,ImproveCodeTool,CredAccess,subclass,api,SuperAGI/superagi/tools/code/improve_code.py:23
SuperAGI,WriteSpecTool,Overwrite,subclass,name,SuperAGI/superagi/tools/code/write_spec.py:29
SuperAGI,WriteTestTool,Overwrite,subclass,name,SuperAGI/superagi/tools/code/write_test.py:30
SuperAGI,EmailToolkit,SendExt,subclass,name,SuperAGI/superagi/tools/email/email_toolkit.py:10
SuperAGI,ReadEmailTool,SendExt,subclass,name,SuperAGI/superagi/tools/email/read_email.py:20
SuperAGI,SendEmailTool,SendExt,subclass,name,SuperAGI/superagi/tools/email/send_email.py:18
SuperAGI,SendEmailAttachmentTool,SendExt,subclass,name,SuperAGI/superagi/tools/email/send_email_attachment.py:32
SuperAGI,AppendFileTool,Overwrite,subclass,api,SuperAGI/superagi/tools/file/append_file.py:21
SuperAGI,DeleteFileTool,Delete,subclass,api,SuperAGI/superagi/tools/file/delete_file.py:20
SuperAGI,ReadFileTool,Delete,subclass,api,SuperAGI/superagi/tools/file/read_file.py:27
SuperAGI,WriteFileTool,Overwrite,subclass,name,SuperAGI/superagi/tools/file/write_file.py:19
SuperAGI,GithubDeleteFileTool,Delete,subclass,name,SuperAGI/superagi/tools/github/delete_file.py:37
SuperAGI,CreateEventCalendarTool,CredAccess,subclass,api,SuperAGI/superagi/tools/google_calendar/create_calendar_event.py:19
SuperAGI,DeleteCalendarEventTool,Delete,subclass,name,SuperAGI/superagi/tools/google_calendar/delete_calendar_event.py:12
SuperAGI,EventDetailsCalendarTool,CredAccess,subclass,api,SuperAGI/superagi/tools/google_calendar/event_details_calendar.py:12
SuperAGI,DalleImageGenTool,CredAccess,subclass,api,SuperAGI/superagi/tools/image_generation/dalle_image_gen.py:20
SuperAGI,SendTweetsTool,SendExt,subclass,name,SuperAGI/superagi/tools/twitter/send_tweets.py:17
