repo,path,line,effect_kind,api
open-interpreter,.codex/environments/setup.py,20,Exec,subprocess.check_output
open-interpreter,.codex/skills/babysit-pr/scripts/gh_pr_watch.py,116,Exec,subprocess.run
open-interpreter,.codex/skills/babysit-pr/scripts/gh_pr_watch.py,253,Delete,tmp_path.unlink
open-interpreter,.codex/skills/codex-issue-digest/scripts/collect_issue_digest.py,230,Exec,subprocess.run
open-interpreter,.codex/skills/codex-issue-digest/scripts/collect_issue_digest.py,249,Exec,subprocess.run
open-interpreter,.codex/skills/codex-issue-digest/scripts/collect_issue_digest.py,257,Exec,subprocess.run
open-interpreter,.devcontainer/post_install.py,61,Overwrite,gitignore_global.write_text
open-interpreter,.devcontainer/post_install.py,89,Overwrite,local_gitconfig.write_text
open-interpreter,.devcontainer/post_install.py,41,Exec,subprocess.run
open-interpreter,.github/scripts/run_bazel_with_buildbuddy.py,184,Exec,os.execvp
open-interpreter,.github/scripts/run_bazel_with_buildbuddy.py,181,Exec,subprocess.run
open-interpreter,.github/scripts/rusty_v8_bazel.py,33,Exec,subprocess.check_output
open-interpreter,.github/scripts/rusty_v8_bazel.py,42,Exec,subprocess.check_output
open-interpreter,.github/scripts/rusty_v8_bazel.py,64,Exec,subprocess.check_output
open-interpreter,.github/scripts/rusty_v8_bazel.py,91,Exec,subprocess.run
open-interpreter,.github/scripts/rusty_v8_module_bazel.py,242,Overwrite,module_bazel_path.write_text
open-interpreter,.github/scripts/test_run_bazel_with_buildbuddy.py,24,Overwrite,event_path.write_text
open-interpreter,.github/scripts/test_run_bazel_with_buildbuddy.py,230,Exec,subprocess.run
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,60,Overwrite,module_bazel.write_text
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,175,Overwrite,archive.write_bytes
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,176,Overwrite,binding.write_text
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,236,Overwrite,write_bytes
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,237,Overwrite,write_text
open-interpreter,.github/scripts/test_rusty_v8_bazel.py,258,Overwrite,output.write_bytes
open-interpreter,.github/scripts/test_v8_canary_changes.py,84,Overwrite,write_text
open-interpreter,.github/scripts/test_v8_canary_changes.py,89,Exec,subprocess.check_output
open-interpreter,.github/scripts/v8_canary_changes.py,47,Exec,subprocess.check_output
open-interpreter,codex-cli/scripts/build_npm_package.py,329,Exec,subprocess.run
open-interpreter,codex-cli/scripts/build_npm_package.py,316,Overwrite,open
open-interpreter,codex-cli/scripts/build_npm_package.py,369,Delete,shutil.rmtree
open-interpreter,codex-cli/scripts/build_npm_package.py,423,Exec,subprocess.check_output
open-interpreter,codex-cli/scripts/build_npm_package.py,387,Delete,shutil.rmtree
open-interpreter,codex-cli/scripts/build_npm_package.py,401,Delete,shutil.rmtree
open-interpreter,codex-rs/scripts/write_model_compatibility_catalog.py,237,Overwrite,OUTPUT_PATH.write_text
open-interpreter,codex-rs/scripts/write_model_compatibility_catalog.py,22,SendExt,urllib.request.urlopen
open-interpreter,codex-rs/scripts/write_provider_catalog.py,362,Overwrite,OUTPUT_PATH.write_text
open-interpreter,codex-rs/scripts/write_provider_catalog.py,34,SendExt,urllib.request.urlopen
open-interpreter,codex-rs/scripts/write_provider_catalog.py,187,SendExt,urllib.request.urlopen
open-interpreter,codex-rs/skills/src/assets/samples/imagegen/scripts/image_gen.py,70,CredAccess,os.getenv
open-interpreter,codex-rs/skills/src/assets/samples/imagegen/scripts/image_gen.py,320,Overwrite,out_path.write_bytes
open-interpreter,codex-rs/skills/src/assets/samples/imagegen/scripts/image_gen.py,382,Overwrite,out_path.write_bytes
open-interpreter,codex-rs/skills/src/assets/samples/imagegen/scripts/image_gen.py,393,Overwrite,derived.write_bytes
open-interpreter,codex-rs/skills/src/assets/samples/imagegen/scripts/remove_chroma_key.py,354,Overwrite,out.write_bytes
open-interpreter,codex-rs/skills/src/assets/samples/plugin-creator/scripts/update_plugin_cachebuster.py,44,Overwrite,manifest_path.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-creator/scripts/generate_openai_yaml.py,185,Overwrite,output_path.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-creator/scripts/init_skill.py,293,Overwrite,skill_md_path.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-creator/scripts/init_skill.py,237,Overwrite,example_script.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-creator/scripts/init_skill.py,245,Overwrite,example_reference.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-creator/scripts/init_skill.py,252,Overwrite,example_asset.write_text
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/github_utils.py,12,CredAccess,os.environ.get
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/github_utils.py,12,CredAccess,os.environ.get
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/github_utils.py,16,SendExt,urllib.request.urlopen
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/install-skill-from-github.py,100,Exec,subprocess.run
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/install-skill-from-github.py,87,Overwrite,open
open-interpreter,codex-rs/skills/src/assets/samples/skill-installer/scripts/install-skill-from-github.py,298,Delete,shutil.rmtree
open-interpreter,codex-rs/vendor/bubblewrap/demos/userns-block-fd.py,19,Exec,subprocess.call
open-interpreter,codex-rs/vendor/bubblewrap/demos/userns-block-fd.py,20,Exec,subprocess.call
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,226,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,248,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,505,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,519,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,533,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,552,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,571,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,592,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,299,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,358,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/test-seccomp.py,440,Exec,subprocess.run
open-interpreter,codex-rs/vendor/bubblewrap/tests/use-as-subproject/assert-correct-rpath.py,9,Exec,subprocess.run
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,95,Exec,subprocess.run
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,110,Overwrite,p.write_text
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,130,Exec,subprocess.run
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,142,Exec,subprocess.run
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,556,Exec,subprocess.Popen
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,565,Exec,subprocess.run
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,597,Overwrite,slow_ps.write_text
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,105,Delete,shutil.rmtree
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,532,Overwrite,shim.write_text
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,114,Delete,shutil.rmtree
open-interpreter,codex-rs/windows-sandbox-rs/sandbox_smoketests.py,115,Delete,p.unlink
open-interpreter,scripts/asciicheck.py,119,Overwrite,open
open-interpreter,scripts/check_blob_size.py,25,Exec,subprocess.run
open-interpreter,scripts/check_blob_size.py,135,Overwrite,write_text
open-interpreter,scripts/format.py,59,Exec,subprocess.check_output
open-interpreter,scripts/format.py,159,Exec,subprocess.run
open-interpreter,scripts/just-shell.py,42,Exec,os.execvp
open-interpreter,scripts/just-shell.py,57,Exec,subprocess.run
open-interpreter,scripts/readme_toc.py,114,Overwrite,readme_path.write_text
open-interpreter,scripts/stage_npm_packages.py,150,Exec,subprocess.check_output
open-interpreter,scripts/stage_npm_packages.py,254,Exec,subprocess.check_output
open-interpreter,scripts/stage_npm_packages.py,411,Delete,dest.unlink
open-interpreter,scripts/stage_npm_packages.py,454,Exec,subprocess.check_call
open-interpreter,scripts/stage_npm_packages.py,471,Exec,subprocess.run
open-interpreter,scripts/stage_npm_packages.py,296,Exec,subprocess.check_call
open-interpreter,scripts/stage_npm_packages.py,352,Delete,shutil.rmtree
open-interpreter,scripts/stage_npm_packages.py,595,Delete,shutil.rmtree
open-interpreter,scripts/stage_npm_packages.py,591,Delete,shutil.rmtree
open-interpreter,scripts/stage_npm_packages.py,593,Delete,shutil.rmtree
open-interpreter,scripts/stage_npm_packages.py,587,Delete,shutil.rmtree
open-interpreter,scripts/codex_package/archive.py,27,Delete,archive_path.unlink
open-interpreter,scripts/codex_package/archive.py,77,Exec,subprocess.check_call
open-interpreter,scripts/codex_package/cargo.py,74,Exec,subprocess.run
open-interpreter,scripts/codex_package/dotslash.py,168,Delete,temp_path.unlink
open-interpreter,scripts/codex_package/dotslash.py,185,Delete,dest.unlink
open-interpreter,scripts/codex_package/dotslash.py,175,Delete,temp_path.unlink
open-interpreter,scripts/codex_package/dotslash.py,135,Delete,archive_path.unlink
open-interpreter,scripts/codex_package/dotslash.py,170,SendExt,urlopen
open-interpreter,scripts/codex_package/dotslash.py,56,Delete,archive_path.unlink
open-interpreter,scripts/codex_package/dotslash.py,171,Overwrite,open
open-interpreter,scripts/codex_package/dotslash.py,202,Overwrite,open
open-interpreter,scripts/codex_package/dotslash.py,210,Overwrite,open
open-interpreter,scripts/codex_package/layout.py,202,Overwrite,open
open-interpreter,scripts/codex_package/layout.py,29,Delete,shutil.rmtree
open-interpreter,scripts/codex_package/test_archive.py,23,Overwrite,manifest.write_text
open-interpreter,scripts/codex_package/test_cargo.py,153,Overwrite,path.write_text
open-interpreter,scripts/codex_package/test_cargo.py,158,Overwrite,path.write_text
open-interpreter,scripts/codex_package/test_layout.py,62,Overwrite,path.write_text
open-interpreter,scripts/codex_package/v8.py,148,Delete,artifact.unlink
open-interpreter,scripts/codex_package/v8.py,153,Delete,artifact.unlink
open-interpreter,scripts/codex_package/v8.py,173,Delete,temp_path.unlink
open-interpreter,scripts/codex_package/v8.py,180,Delete,temp_path.unlink
open-interpreter,scripts/codex_package/v8.py,175,SendExt,urlopen
open-interpreter,scripts/install/test_install_sh.py,31,Overwrite,path.write_text
open-interpreter,scripts/install/test_install_sh.py,56,Overwrite,release_list_path.write_text
open-interpreter,scripts/install/test_install_sh.py,60,Overwrite,fake_curl.write_text
open-interpreter,scripts/install/test_install_sh.py,98,Exec,subprocess.run
open-interpreter,scripts/install/test_install_sh.py,216,Overwrite,write_text
open-interpreter,scripts/install/test_install_sh.py,239,Overwrite,checksum_file.write_text
open-interpreter,scripts/install/test_install_sh.py,245,Overwrite,release_json.write_text
open-interpreter,scripts/install/test_install_sh.py,267,Overwrite,fake_curl.write_text
open-interpreter,scripts/install/test_install_sh.py,321,Exec,subprocess.run
open-interpreter,scripts/install/test_install_sh.py,233,Overwrite,tarfile.open
open-interpreter,sdk/python/_runtime_setup.py,126,Exec,subprocess.run
open-interpreter,sdk/python/_runtime_setup.py,229,Exec,subprocess.run
open-interpreter,sdk/python/_runtime_setup.py,286,Exec,subprocess.run
open-interpreter,sdk/python/_runtime_setup.py,182,SendExt,urllib.request.urlopen
open-interpreter,sdk/python/_runtime_setup.py,154,SendExt,urllib.request.urlopen
open-interpreter,sdk/python/_runtime_setup.py,214,SendExt,urllib.request.urlopen
open-interpreter,sdk/python/examples/_bootstrap.py,102,Overwrite,image_path.write_bytes
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,61,Exec,subprocess.run
